Name,Type,Address,City,Phone,Services,Manager,X,Y,Week days,Friday,Rating,Lat,Long
אבו סביח אמין - צמיגי בקעה,מוסך מורשה,דרך בית לחם 11,ירושלים,02-6481555,תיקון והחלפת צמיגים,אבו סביח אמין,221295.0,629988.0,07:00 - 16:30,07:00 - 12:00,3.4,31.762609,35.223918
מוסך רמ ר (1987)בע מ,מוסך מורשה,המרכבה 15,אשקלון,08-6759995,מכונאות רכב בנזין,קאבח יאיר,161621.45,619506.02,07:00 - 16:00,07:00 - 12:30,3.8,31.666621,34.594664
שרות אוטומובילים - וייס אמנון,מוסך מורשה,אורט 1,אשקלון,08-6734303,תיקון והחלפת צמיגים,וייס אמנון,159122.46,619593.33,07:00 - 16:30,07:00 - 12:00,3.9,31.66728,34.568309
א.ארגמן סוכנות דרום בע מ,מוסך מורשה,המלאכה 18,באר שבע,08-6278184,מכונאות רכב בנזין,ארגמני גדעון,180507.25,571784.49,07:00 - 16:30,07:00 - 13:00,3.3,31.237033,34.795676
מוסך איציק - זאיבלב ולדיסלב,מוסך מורשה,הנגרים 13,באר שבע,08-6275980,תיקון מרכבי רכב,שלום יצחק,181204.42,572402.29,07:00 - 16:30,סגור,3.2,31.242628,34.80297
אגד חברה לתחבורה  בע מ,מוסך מורשה,הברזל 1,באר שבע,03-9143418,מכונאות רכב דיזל,ששי דניאל,181641.71,569232.74,07:00 - 17:00,07:00 - 13:00,4.3,31.214056,34.807679
מוסך ביליה פחחות- שרלי,מוסך מורשה,אנילביץ 3,באר שבע,08-6276450,תיקון מרכבי רכב,ביליה שרלי,179943.93,571754.56,07:00 - 17:00,07:00 - 12:30,3.5,31.236744,34.789764
מוסך באר-שבע בן דוד,מוסך מורשה,המלאכה 7,באר שבע,08-6232198,תיקון מרכבי רכב,בן דוד יצחק,180703.29,571665.92,07:00 - 16:00,07:00 - 12:30,3.4,31.235971,34.797738
צמיגי יוסי זוארץ (1994) בע מ,מוסך מורשה,ראם 11,תל אביב -יפו,03-5616754,תיקון והחלפת צמיגים,גבאי אברהם,180244.5,663974.94,07:00 - 16:30,07:00 - 12:00,4.2,32.068432,34.789237
פליקס בע מ,מוסך מורשה,טברסקי 5,תל אביב -יפו,03-6278000,מכונאות רכב בנזין,טורנר עמיר,180204.82,663640.25,07:00 - 17:00,07:00 - 12:00,4.3,32.065413,34.78883
